original_index,task,ground_truth_text,predicted_label,top1_correct,candidate_count
127,Action Recognition,The grasper is carrying out a retract procedure in this surgery.,retract,True,10
128,Action Recognition,"retract, cut",retract,True,10
129,Action Recognition,"retract, clip",retract,True,10
130,Action Recognition,The bipolar is performing a coagulate action in this surgery image.,retract,False,10
131,Action Recognition,dissect,dissect,True,10
132,Action Recognition,The grasper is acting with a null_verb movement in this surgical image.,retract,False,10
133,Action Recognition,"retract, dissect",retract,True,10
134,Action Recognition,dissect,dissect,True,10
135,Action Recognition,The grasper is carrying out a retract procedure in this surgery.,retract,True,10
136,Action Recognition,The grasper plays the role of retract in this surgical procedure.,grasp,False,10
137,Action Recognition,The hook performs a dissect maneuver in this surgery image.,null_verb,False,10
138,Action Recognition,"retract, dissect",retract,True,10
139,Action Recognition,retract,retract,True,10
140,Action Recognition,The grasper is fulfilling the function of retract in this surgery.,grasp,False,10
141,Action Recognition,The grasper performs a retract movement in this procedure.,retract,True,10
142,Action Recognition,dissect,retract,False,10
143,Action Recognition,The hook serves the function of dissect in this surgery.,grasp,False,10
144,Action Recognition,The grasper is shown performing retract in this surgical image.,retract,True,10
145,Action Recognition,"retract, dissect",retract,True,10
146,Action Recognition,"retract, dissect",retract,True,10
147,Action Recognition,"retract, dissect",retract,True,10
148,Action Recognition,The grasper is performing a retract action in this surgical procedure.,null_verb,False,10
149,Action Recognition,retract,retract,True,10
150,Action Recognition,"retract, dissect",retract,True,10
151,Action Recognition,The hook is performing a dissect procedure in this surgical scene.,retract,False,10
152,Action Recognition,grasp,grasp,True,10
153,Action Recognition,"retract, dissect",retract,True,10
154,Action Recognition,dissect,dissect,True,10
155,Action Recognition,The hook performs a dissect action in this surgery image.,dissect,True,10
156,Action Recognition,dissect,retract,False,10
157,Action Recognition,"retract, dissect",retract,True,10
158,Action Recognition,dissect,dissect,True,10
159,Action Recognition,"retract, clip",retract,True,10
160,Action Recognition,"retract, dissect",retract,True,10
161,Action Recognition,The hook performs dissect in this surgery image.,dissect,True,10
162,Action Recognition,The movement shown by the grasper is retract in this surgical image.,retract,True,10
163,Action Recognition,The hook is accomplishing a dissect task in this surgery.,grasp,False,10
164,Action Recognition,The grasper is performing a pack action in this surgical scene.,null_verb,False,10
165,Action Recognition,The grasper is performing a grasp action during this surgery.,retract,False,10
166,Action Recognition,dissect,dissect,True,10
167,Action Recognition,dissect,dissect,True,10
168,Action Recognition,coagulate,coagulate,True,10
169,Action Recognition,The hook is performing a dissect task in this image.,dissect,True,10
170,Action Recognition,grasp,grasp,True,10
171,Action Recognition,retract,retract,True,10
172,Action Recognition,The clipper is performing a clip in this surgery image.,clip,True,10
173,Action Recognition,The hook is performing a dissect operation in this surgical image.,retract,False,10
174,Action Recognition,"retract, dissect",retract,True,10
175,Action Recognition,"retract, dissect",retract,True,10
176,Action Recognition,dissect,dissect,True,10
177,Action Recognition,aspirate,aspirate,True,10
178,Action Recognition,retract,retract,True,10
179,Action Recognition,retract,retract,True,10
180,Action Recognition,The clipper has the role of performing clip in this surgery image.,clip,True,10
181,Action Recognition,retract,retract,True,10
182,Action Recognition,The grasper is engaged in retract within this surgical image.,grasp,False,10
183,Action Recognition,aspirate,retract,False,10
184,Action Recognition,"retract, dissect",retract,True,10
185,Action Recognition,dissect,dissect,True,10
186,Action Recognition,The grasper is carrying out a retract task in this surgical image.,retract,True,10
187,Action Recognition,retract,retract,True,10
188,Action Recognition,"retract, dissect",retract,True,10
189,Action Recognition,The grasper is carrying out a retract action in this surgical scene.,retract,True,10
190,Action Recognition,The specific movement made by the grasper is retract in this surgery.,retract,True,10
191,Action Recognition,"retract, dissect",retract,True,10
192,Action Recognition,"retract, dissect",retract,True,10
193,Action Recognition,The hook executes a dissect movement in this surgical image.,dissect,True,10
194,Action Recognition,dissect,dissect,True,10
195,Action Recognition,The hook performs a dissect movement in this procedure.,null_verb,False,10
196,Action Recognition,The movement carried out by the grasper is retract in this surgery.,retract,True,10
197,Action Recognition,"retract, cut",retract,True,10
198,Action Recognition,The hook is taking a dissect action in this surgery.,dissect,True,10
199,Action Recognition,The movement of the hook is dissect in this surgery.,dissect,True,10
200,Action Recognition,The grasper performs a retract movement in this procedure.,retract,True,10
201,Action Recognition,The hook is involved in performing dissect within this procedure.,dissect,True,10
202,Action Recognition,dissect,dissect,True,10
203,Action Recognition,dissect,dissect,True,10
204,Action Recognition,The hook completes a dissect task in this surgical image.,grasp,False,10
205,Action Recognition,The hook performs dissect in this surgery image.,null_verb,False,10
206,Action Recognition,The grasper is performing a retract task in this surgical image.,retract,True,10
207,Action Recognition,retract,retract,True,10
208,Action Recognition,The movement made by the grasper is grasp in this surgical image.,retract,False,10
209,Action Recognition,The hook is conducting a dissect task in this surgery.,dissect,True,10
210,Action Recognition,The hook is conducting a dissect operation in this procedure.,dissect,True,10
211,Action Recognition,The clipper is doing a clip action in this surgical image.,clip,True,10
212,Action Recognition,retract,retract,True,10
213,Action Recognition,The grasper undertakes a retract task in this surgical scene.,retract,True,10
214,Action Recognition,"retract, dissect",retract,True,10
215,Action Recognition,dissect,dissect,True,10
216,Action Recognition,The grasper is carrying out a retract task in this surgical image.,retract,True,10
217,Action Recognition,dissect,retract,False,10
218,Action Recognition,The grasper is executing a retract task in this surgical image.,retract,True,10
219,Action Recognition,"retract, dissect",retract,True,10
220,Action Recognition,dissect,dissect,True,10
221,Action Recognition,clip,cut,False,10
222,Action Recognition,dissect,dissect,True,10
223,Action Recognition,The movement of the irrigator is aspirate in this image.,retract,False,10
224,Action Recognition,The hook is shown performing dissect in this surgical image.,dissect,True,10
225,Action Recognition,The hook is fulfilling the role of dissect in this surgical operation.,grasp,False,10
226,Action Recognition,dissect,dissect,True,10
227,Action Recognition,dissect,dissect,True,10
228,Action Recognition,The movement carried out by the hook is null_verb in this surgery.,retract,False,10
229,Action Recognition,The task of the grasper is to perform retract in this surgery.,grasp,False,10
230,Action Recognition,The hook is fulfilling a dissect function in this image.,dissect,True,10
231,Action Recognition,retract,retract,True,10
232,Action Recognition,"retract, clip",retract,True,10
233,Action Recognition,The grasper is engaged in retract within this surgical image.,grasp,False,10
234,Action Recognition,dissect,dissect,True,10
235,Action Recognition,The grasper performs a retract maneuver in this surgery image.,retract,True,10
236,Action Recognition,retract,retract,True,10
237,Action Recognition,The hook plays the role of dissect in this surgical procedure.,dissect,True,10
238,Action Recognition,The movement carried out by the hook is null_verb in this surgery.,retract,False,10
239,Action Recognition,retract,retract,True,10
240,Action Recognition,The hook is performing a dissect activity in this surgical image.,dissect,True,10
241,Action Recognition,The hook is performing a null_verb action in this surgical scene.,null_verb,True,10
242,Action Recognition,dissect,dissect,True,10
243,Action Recognition,The grasper is performing grasp in this surgical operation.,retract,False,10
244,Action Recognition,The grasper is involved in grasp within this surgical image.,retract,False,10
245,Action Recognition,dissect,dissect,True,10
246,Action Recognition,dissect,dissect,True,10
247,Action Recognition,The grasper performs a retract maneuver in this surgery image.,retract,True,10
248,Action Recognition,retract,retract,True,10
249,Action Recognition,The grasper is performing retract in this surgery image.,retract,True,10
250,Action Recognition,The hook is performing a dissect action in this surgical scene.,null_verb,False,10
251,Action Recognition,The hook undertakes a null_verb task in this surgical scene.,grasp,False,10
252,Action Recognition,The hook performs a dissect task in this surgical procedure.,retract,False,10
253,Action Recognition,The bipolar's task is to perform coagulate in this surgery image.,null_verb,False,10
254,Action Recognition,retract,retract,True,10
255,Action Recognition,The grasper is performing a retract activity in this surgical image.,grasp,False,10
256,Action Recognition,"retract, coagulate",retract,True,10
257,Action Recognition,null verb,grasp,False,10
258,Action Recognition,The hook is carrying out a dissect operation in this surgery.,dissect,True,10
259,Action Recognition,"retract, dissect",retract,True,10
260,Action Recognition,The grasper performs retract in this surgery image.,retract,True,10
261,Action Recognition,"retract, dissect",retract,True,10
262,Action Recognition,The clipper is carrying out a clip procedure in this surgery.,clip,True,10
263,Action Recognition,The task of the grasper is to perform pack in this surgery.,grasp,False,10
264,Action Recognition,The hook demonstrates a dissect movement in this surgery image.,retract,False,10
265,Action Recognition,The grasper completes a retract task in this surgical image.,retract,True,10
266,Action Recognition,"retract, dissect",retract,True,10
267,Action Recognition,The hook is carrying out a dissect task in this surgery.,grasp,False,10
268,Action Recognition,clip,cut,False,10
269,Action Recognition,The hook is performing the role of dissect in this surgical image.,retract,False,10
270,Action Recognition,The hook performs a dissect action during this surgical procedure.,retract,False,10
271,Action Recognition,retract,retract,True,10
272,Action Recognition,The grasper is observed performing a retract action in this surgical procedure.,retract,True,10
273,Action Recognition,retract,retract,True,10
274,Action Recognition,grasp,grasp,True,10
275,Action Recognition,The movement made by the hook is dissect in this surgical image.,retract,False,10
276,Action Recognition,"retract, dissect",retract,True,10
277,Action Recognition,The hook is engaged in dissect during this surgery.,dissect,True,10
278,Action Recognition,The hook is assigned the task of dissect in this surgical image.,grasp,False,10
279,Action Recognition,dissect,dissect,True,10
280,Action Recognition,grasp,grasp,True,10
281,Action Recognition,The grasper performs a retract operation in this surgical image.,retract,True,10
282,Action Recognition,retract,retract,True,10
283,Action Recognition,The grasper is doing a retract action in this surgical image.,retract,True,10
284,Action Recognition,The hook is completing a dissect action in this surgical image.,dissect,True,10
285,Action Recognition,grasp,grasp,True,10
286,Action Recognition,The hook is engaged in coagulate in this surgery image.,dissect,False,10
287,Action Recognition,The grasper is carrying out a null_verb operation in this surgery.,retract,False,10
288,Action Recognition,"retract, dissect",retract,True,10
289,Action Recognition,The hook is performing a dissect activity in this procedure.,dissect,True,10
290,Action Recognition,The grasper is performing a retract activity in this surgical image.,retract,True,10
291,Action Recognition,"retract, dissect",dissect,True,10
292,Action Recognition,The clipper is involved in null_verb within this surgical image.,clip,False,10
293,Action Recognition,dissect,dissect,True,10
294,Action Recognition,The grasper is performing the role of retract in this surgical image.,retract,True,10
295,Action Recognition,grasp,grasp,True,10
296,Action Recognition,The hook serves the function of dissect in this surgery.,grasp,False,10
297,Action Recognition,The hook is carrying out a dissect operation in this surgery.,dissect,True,10
298,Action Recognition,The hook is accomplishing a dissect task in this surgery.,grasp,False,10
299,Action Recognition,"retract, dissect",retract,True,10
300,Action Recognition,The hook is taking the dissect action in this surgery.,dissect,True,10
301,Action Recognition,The grasper performs a grasp movement in this procedure.,retract,False,10
302,Action Recognition,retract,retract,True,10
303,Action Recognition,The hook is handling a dissect operation in this surgery.,dissect,True,10
304,Action Recognition,dissect,dissect,True,10
305,Action Recognition,"retract, dissect",retract,True,10
306,Action Recognition,retract,retract,True,10
307,Action Recognition,The grasper performs a retract operation in this surgical image.,retract,True,10
308,Action Recognition,The hook is executing a dissect function in this surgery.,grasp,False,10
309,Action Recognition,The movement made by the grasper is retract in this surgical image.,retract,True,10
310,Action Recognition,"retract, coagulate",retract,True,10
311,Action Recognition,The grasper performs a retract function in this surgery image.,retract,True,10
312,Action Recognition,The clipper is executing clip in this surgical procedure.,clip,True,10
313,Action Recognition,"retract, dissect",retract,True,10
314,Action Recognition,"retract, dissect",retract,True,10
315,Action Recognition,The grasper is executing a retract task in this surgery.,retract,True,10
316,Action Recognition,The grasper is taking a retract action in this surgery.,retract,True,10
317,Action Recognition,clip,retract,False,10
318,Action Recognition,The grasper is performing a retract action in this surgery image.,retract,True,10
319,Action Recognition,The hook is executing a dissect function in this surgery.,grasp,False,10
320,Action Recognition,The hook is playing the role of dissect in this surgical scene.,dissect,True,10
321,Action Recognition,"retract, cut",retract,True,10
322,Action Recognition,retract,retract,True,10
323,Action Recognition,The hook is engaged in dissect during this surgery.,dissect,True,10
324,Action Recognition,The hook performs a coagulate movement in this procedure.,dissect,False,10
325,Action Recognition,"retract, dissect",retract,True,10
326,Action Recognition,The hook is acting with a dissect movement in this surgical image.,retract,False,10
327,Action Recognition,The grasper is executing retract in this surgical scene.,retract,True,10
328,Action Recognition,"retract, clip",retract,True,10
329,Action Recognition,The hook takes a null_verb action in this surgical procedure.,dissect,False,10
330,Action Recognition,grasp,grasp,True,10
331,Action Recognition,The movement shown by the grasper is null_verb in this surgery image.,retract,False,10
332,Action Recognition,The hook is executing a dissect function in this surgery.,grasp,False,10
333,Action Recognition,The grasper is observed performing retract in this operation.,retract,True,10
334,Action Recognition,retract,retract,True,10
335,Action Recognition,grasp,grasp,True,10
336,Action Recognition,grasp,grasp,True,10
337,Action Recognition,dissect,dissect,True,10
338,Action Recognition,The grasper is tasked with performing grasp in this surgical image.,retract,False,10
339,Action Recognition,The grasper is assigned the task of retract in this surgical image.,grasp,False,10
340,Action Recognition,The movement carried out by the hook is dissect in this surgery.,dissect,True,10
341,Action Recognition,The grasper is taking a retract action in this surgery.,retract,True,10
342,Action Recognition,dissect,retract,False,10
343,Action Recognition,The grasper is performing a retract task in this image.,retract,True,10
344,Action Recognition,The grasper is assigned the task of retract in this surgical image.,grasp,False,10
345,Action Recognition,dissect,dissect,True,10
346,Action Recognition,"retract, dissect",retract,True,10
347,Action Recognition,The bipolar is involved in coagulate within this surgical image.,dissect,False,10
348,Action Recognition,The grasper is carrying out a grasp procedure in this surgery.,retract,False,10
349,Action Recognition,The grasper is performing the role of retract in this surgical image.,retract,True,10
350,Action Recognition,dissect,dissect,True,10
351,Action Recognition,The hook performs a dissect action during this surgical procedure.,retract,False,10
352,Action Recognition,retract,retract,True,10
353,Action Recognition,The grasper performs null_verb in this surgery image.,grasp,False,10
354,Action Recognition,The hook is carrying out a dissect task in this surgery image.,retract,False,10
355,Action Recognition,grasp,grasp,True,10
356,Action Recognition,dissect,dissect,True,10
357,Action Recognition,The movement of the clipper is clip in this image.,clip,True,10
358,Action Recognition,The hook is fulfilling the role of dissect in this surgical operation.,retract,False,10
359,Action Recognition,The grasper is assigned the task of retract in this surgical image.,retract,True,10
360,Action Recognition,The hook serves the function of dissect in this surgery.,grasp,False,10
361,Action Recognition,The grasper plays the role of grasp in this surgical procedure.,retract,False,10
362,Action Recognition,retract,retract,True,10
363,Action Recognition,dissect,dissect,True,10
364,Action Recognition,dissect,dissect,True,10
365,Action Recognition,"retract, dissect",retract,True,10
366,Action Recognition,The hook is shown performing dissect in this surgical image.,dissect,True,10
367,Action Recognition,"retract, dissect",retract,True,10
368,Action Recognition,The grasper demonstrates a grasp movement in this surgery image.,grasp,True,10
369,Action Recognition,retract,retract,True,10
370,Action Recognition,"retract, aspirate",retract,True,10
371,Action Recognition,dissect,dissect,True,10
372,Action Recognition,dissect,dissect,True,10
373,Action Recognition,The grasper is doing a retract action in this surgical image.,retract,True,10
374,Action Recognition,retract,retract,True,10
375,Action Recognition,The grasper performs a grasp action during this surgical procedure.,retract,False,10
376,Action Recognition,The hook is assigned the task of dissect in this surgical image.,grasp,False,10
377,Action Recognition,"retract, dissect",retract,True,10
378,Action Recognition,"retract, clip",retract,True,10
379,Action Recognition,"retract, dissect",retract,True,10
380,Action Recognition,The movement shown by the clipper is clip in this surgery image.,clip,True,10
381,Action Recognition,The grasper is performing a retract activity in this surgical image.,retract,True,10
382,Action Recognition,The scissors is fulfilling the role of cut in this surgical operation.,clip,False,10
383,Action Recognition,The movement made by the grasper is retract in this surgical image.,retract,True,10
384,Action Recognition,coagulate,coagulate,True,10
385,Action Recognition,The hook completes a dissect task in this surgical image.,grasp,False,10
386,Action Recognition,The grasper is conducting a retract task in this surgery.,retract,True,10
387,Action Recognition,The grasper demonstrates a retract movement in this surgery image.,retract,True,10
388,Action Recognition,The grasper is accomplishing retract in this surgery image.,retract,True,10
389,Action Recognition,"retract, dissect",retract,True,10
390,Action Recognition,"retract, coagulate",retract,True,10
391,Action Recognition,The movement demonstrated by the grasper is retract in this image.,retract,True,10
392,Action Recognition,"retract, dissect",retract,True,10
393,Action Recognition,The hook is completing a dissect action in this surgical image.,dissect,True,10
394,Action Recognition,The grasper is engaged in grasp during this surgery.,retract,False,10
395,Action Recognition,The grasper performs a retract task in this surgical procedure.,retract,True,10
396,Action Recognition,dissect,dissect,True,10
397,Action Recognition,dissect,dissect,True,10
398,Action Recognition,dissect,dissect,True,10
399,Action Recognition,"retract, dissect",retract,True,10
400,Action Recognition,The hook is fulfilling the function of dissect in this surgery.,grasp,False,10
401,Action Recognition,"retract, dissect",retract,True,10
402,Action Recognition,The clipper is performing a clip procedure in this surgical scene.,clip,True,10
403,Action Recognition,dissect,dissect,True,10
404,Action Recognition,The irrigator is fulfilling the role of aspirate in this surgical operation.,null_verb,False,10
405,Action Recognition,retract,retract,True,10
406,Action Recognition,The grasper is involved in performing retract during this surgery.,retract,True,10
407,Action Recognition,"retract, dissect",retract,True,10
408,Action Recognition,"retract, dissect",retract,True,10
409,Action Recognition,"retract, dissect",retract,True,10
410,Action Recognition,dissect,dissect,True,10
411,Action Recognition,The grasper is engaged in retract during this procedure.,retract,True,10
412,Action Recognition,The hook performs a null_verb task in this surgical procedure.,dissect,False,10
413,Action Recognition,"retract, dissect",retract,True,10
414,Action Recognition,The hook is assigned the task of dissect in this surgical image.,grasp,False,10
415,Action Recognition,The clipper is executing a null_verb task in this surgical image.,clip,False,10
416,Action Recognition,"retract, dissect",retract,True,10
417,Action Recognition,grasp,grasp,True,10
418,Action Recognition,dissect,dissect,True,10
419,Action Recognition,The movement made by the grasper is retract in this surgical image.,null_verb,False,10
420,Action Recognition,The hook is engaged in a dissect movement during this surgical operation.,dissect,True,10
421,Action Recognition,clip,cut,False,10
422,Action Recognition,The grasper performs retract in this surgery image.,retract,True,10
423,Action Recognition,The hook is carrying out a dissect task in this surgical image.,dissect,True,10
424,Action Recognition,grasp,grasp,True,10
425,Action Recognition,"retract, dissect",retract,True,10
426,Action Recognition,The hook is engaged in dissect within this surgical image.,dissect,True,10
427,Action Recognition,clip,retract,False,10
428,Action Recognition,The task of the grasper is to perform retract in this surgery.,retract,True,10
429,Action Recognition,dissect,dissect,True,10
430,Action Recognition,The clipper is fulfilling the role of clip in this surgical operation.,clip,True,10
431,Action Recognition,"retract, clip",retract,True,10
432,Action Recognition,The hook is performing a dissect action during this surgery.,dissect,True,10
433,Action Recognition,The grasper is performing a retract action in this surgery image.,retract,True,10
434,Action Recognition,retract,retract,True,10
435,Action Recognition,"retract, aspirate",retract,True,10
436,Action Recognition,The hook is involved in dissect within this surgical image.,dissect,True,10
437,Action Recognition,dissect,dissect,True,10
438,Action Recognition,dissect,dissect,True,10
439,Action Recognition,The bipolar is observed performing a coagulate action in this surgical procedure.,null_verb,False,10
440,Action Recognition,"retract, dissect",cut,False,10
441,Action Recognition,The task of the grasper is to perform retract in this surgery.,grasp,False,10
442,Action Recognition,dissect,dissect,True,10
443,Action Recognition,The hook executes dissect in this surgical procedure.,dissect,True,10
444,Action Recognition,dissect,dissect,True,10
445,Action Recognition,The grasper is acting with a grasp movement in this surgical image.,retract,False,10
446,Action Recognition,"retract, dissect",retract,True,10
447,Action Recognition,"retract, clip",retract,True,10
448,Action Recognition,grasp,grasp,True,10
449,Action Recognition,retract,retract,True,10
450,Action Recognition,The hook is performing a dissect in this surgery image.,dissect,True,10
451,Action Recognition,The movement demonstrated by the hook is dissect in this image.,null_verb,False,10
452,Action Recognition,The hook is fulfilling the role of dissect in this surgical operation.,retract,False,10
453,Action Recognition,dissect,dissect,True,10
454,Action Recognition,The hook is engaged in dissect within this surgical image.,dissect,True,10
455,Action Recognition,dissect,dissect,True,10
456,Action Recognition,dissect,dissect,True,10
457,Action Recognition,The hook executes dissect in this surgical procedure.,dissect,True,10
458,Action Recognition,"retract, dissect",retract,True,10
459,Action Recognition,The grasper is carrying out a retract procedure in this surgery.,retract,True,10
460,Action Recognition,"retract, dissect",retract,True,10
461,Action Recognition,dissect,dissect,True,10
462,Action Recognition,"retract, dissect",retract,True,10
463,Action Recognition,The hook is involved in performing dissect within this procedure.,dissect,True,10
464,Action Recognition,coagulate,coagulate,True,10
465,Action Recognition,"retract, dissect",retract,True,10
466,Action Recognition,The grasper is conducting a retract operation in this procedure.,retract,True,10
467,Action Recognition,"retract, dissect",retract,True,10
468,Action Recognition,dissect,retract,False,10
469,Action Recognition,"retract, aspirate",retract,True,10
470,Action Recognition,The grasper is performing a retract operation in this surgical image.,retract,True,10
471,Action Recognition,dissect,dissect,True,10
472,Action Recognition,dissect,retract,False,10
473,Action Recognition,The grasper's task is to perform retract in this surgery image.,retract,True,10
474,Action Recognition,The hook is engaged in dissect in this surgical image.,retract,False,10
475,Action Recognition,dissect,dissect,True,10
